iter	Logloss
0	0.6578180493
1	0.6252108561
2	0.5952656505
3	0.5672724159
4	0.5414140125
5	0.5175919969
6	0.4955274508
7	0.4750420699
8	0.4561199513
9	0.4387723867
10	0.4227351596
11	0.4081762987
12	0.3943964729
13	0.3815137999
14	0.3697869765
15	0.3588227075
16	0.3488490359
17	0.339349217
18	0.3307524094
19	0.3227580903
20	0.3152037343
21	0.308248514
22	0.3019016687
23	0.295941616
24	0.2903297216
25	0.2851828201
26	0.2802942505
27	0.2759081643
28	0.271685639
29	0.2678652552
30	0.2642590955
31	0.2609638452
32	0.2578737944
33	0.2549560257
34	0.2523174045
35	0.2497289405
36	0.2472555416
37	0.2449478633
38	0.2428145705
39	0.2408456816
40	0.2389758131
41	0.2371919192
42	0.2354776002
43	0.2339877461
44	0.2326228239
45	0.2312263242
46	0.2299933448
47	0.2288713654
48	0.2277279652
49	0.2267283951
50	0.2257865497
51	0.2247824533
52	0.223911706
53	0.2230571107
54	0.2223185256
55	0.2215159294
56	0.2207455198
57	0.2199753778
58	0.2193341902
59	0.2187240399
60	0.2180925114
61	0.217576807
62	0.217075031
63	0.2165142911
64	0.2160763501
65	0.2155151086
66	0.2150553143
67	0.2146067529
68	0.2141417794
69	0.2137927987
70	0.2133854896
71	0.2129975166
72	0.2125905118
73	0.2122579052
74	0.2119784946
75	0.2117464325
76	0.2115451851
77	0.2113061581
78	0.2110581363
79	0.2107843546
80	0.210569727
81	0.2102758862
82	0.2100859393
83	0.2099009209
84	0.2096996404
85	0.2094632866
86	0.2092705327
87	0.2090640067
88	0.2088782828
89	0.2087404994
90	0.2085448669
91	0.2083845648
92	0.2082477581
93	0.2080913188
94	0.2079679282
95	0.2077984187
96	0.2076582176
97	0.207500597
98	0.2073735392
99	0.2072374168
100	0.2071269037
101	0.2069772535
102	0.2068546372
103	0.2066952563
104	0.2065597342
105	0.2064337107
106	0.206293148
107	0.2061750163
108	0.2060815105
109	0.2059510241
110	0.2058437552
111	0.2057628666
112	0.2056951139
113	0.2055952568
114	0.2055032461
115	0.2054539637
116	0.2054063304
117	0.2052985109
118	0.2052335564
119	0.2051641695
120	0.2050670116
121	0.2049688731
122	0.2048983999
123	0.2048144683
124	0.2046991949
125	0.2046107817
126	0.2045519957
127	0.2045080639
128	0.2044085663
129	0.2043375849
130	0.2042625543
131	0.2041749206
132	0.2041319258
133	0.2040672664
134	0.2039837918
135	0.203909852
136	0.2038610341
137	0.2037886253
138	0.2037247583
139	0.2036581548
140	0.2035975376
141	0.2035682536
142	0.2035008172
143	0.203452039
144	0.2033583107
145	0.2032823918
146	0.203211824
147	0.2031596362
148	0.203106437
149	0.2030534855
150	0.2029859606
151	0.2029485441
152	0.2029039653
153	0.2028612788
154	0.2028076468
155	0.2027497406
156	0.2026866859
157	0.2026316511
158	0.2025861311
159	0.2025557538
160	0.2025150162
161	0.2024696435
162	0.2024098889
163	0.202358124
164	0.2023036795
165	0.2022671216
166	0.2022195255
167	0.2021595648
168	0.2021327247
169	0.2020883572
170	0.2020620108
171	0.2020365975
172	0.2019863535
173	0.2019321575
174	0.2018869437
175	0.2018361823
176	0.2017734789
177	0.2017248885
178	0.2016931628
179	0.2016461998
180	0.20160675
181	0.201577263
182	0.2015236095
183	0.2014859827
184	0.2014472409
185	0.2014057052
186	0.2013736992
187	0.2013475802
188	0.2013095767
189	0.2012571973
190	0.2012224434
191	0.2011917424
192	0.2011566056
193	0.2011312906
194	0.201099605
195	0.2010626956
196	0.2010188482
197	0.2009964003
198	0.2009519281
199	0.2009174212
200	0.2008866982
201	0.2008706907
202	0.2008376722
203	0.2008072339
204	0.2007820136
205	0.2007462536
206	0.2007115714
207	0.2006916515
208	0.2006635499
209	0.2006209303
210	0.2005790718
211	0.2005411153
212	0.2005140879
213	0.2005023976
214	0.2004671826
215	0.2004421812
216	0.2004373838
217	0.200407583
218	0.2003856309
219	0.2003510737
220	0.2003263789
221	0.2002896655
222	0.2002795868
223	0.2002581931
224	0.2002335883
225	0.2002166031
226	0.2002020063
227	0.200177087
228	0.200149363
229	0.200124544
230	0.2000993615
231	0.2000666723
232	0.2000511132
233	0.2000037221
234	0.1999821976
235	0.19994384
236	0.1999176482
237	0.1999029231
238	0.1998862776
