iter	Passed	Remaining
0	152	68251
1	331	74367
2	511	76274
3	701	78167
4	884	78734
5	1082	80113
6	1262	79888
7	1439	79519
8	1612	79029
9	1795	78995
10	1957	78123
11	2142	78212
12	2321	78053
13	2504	77982
14	2681	77758
15	2863	77683
16	3021	76967
17	3205	76923
18	3381	76709
19	3555	76434
20	3726	76137
21	3912	76117
22	4105	76210
23	4270	75796
24	4443	75540
25	4612	75214
26	4789	75037
27	4989	75194
28	5172	75097
29	5337	74728
30	5516	74562
31	5688	74307
32	5863	74091
33	6042	73937
34	6199	73504
35	6392	73518
36	6548	73090
37	6721	72880
38	6894	72654
39	7069	72465
40	7246	72291
41	7424	72122
42	7595	71895
43	7750	71512
44	7930	71371
45	8113	71261
46	8289	71073
47	8464	70889
48	8677	71014
49	8843	70744
50	9019	70561
51	9165	70147
52	9344	69992
53	9520	69819
54	9663	69399
55	9867	69423
56	10044	69255
57	10224	69105
58	10400	68922
59	10575	68740
60	10751	68562
61	10931	68413
62	11112	68262
63	11289	68089
64	11469	67931
65	11672	67910
66	11856	67774
67	12032	67592
68	12226	67510
69	12390	67260
70	12553	67013
71	12729	66831
72	12905	66646
73	13082	66471
74	13236	66184
75	13404	65962
76	13531	65547
77	13687	65276
78	13857	65079
79	14037	64922
80	14218	64771
81	14401	64629
82	14553	64348
83	14726	64164
84	14905	64003
85	15087	63856
86	15278	63746
87	15443	63530
88	15641	63443
89	15799	63197
90	15975	63022
91	16151	62851
92	16338	62718
93	16513	62541
94	16666	62280
95	16844	62115
96	17000	61867
97	17175	61690
98	17357	61540
99	17529	61353
100	17703	61174
101	17879	61000
102	18052	60817
103	18229	60648
104	18412	60498
105	18583	60307
106	18761	60143
107	18937	59968
108	19131	59850
109	19285	59609
110	19458	59428
111	19641	59275
112	19820	59110
113	19995	58933
114	20204	58855
115	20358	58619
116	20478	58284
117	20656	58118
118	20833	57949
119	21009	57776
120	21189	57615
121	21373	57464
122	21542	57271
123	21715	57090
124	21893	56923
125	22074	56762
126	22248	56584
127	22426	56417
128	22618	56283
129	22764	56034
130	22941	55865
131	23118	55694
132	23299	55533
133	23502	55424
134	23679	55251
135	23853	55073
136	23998	54829
137	24171	54647
138	24347	54474
139	24528	54313
140	24706	54144
141	24884	53975
142	25040	53757
143	25179	53507
144	25360	53344
145	25538	53176
146	25713	53001
147	25891	52833
148	26067	52659
149	26230	52460
150	26383	52243
151	26556	52065
152	26732	51892
153	26906	51716
154	27081	51542
155	27284	51420
156	27470	51265
157	27653	51105
158	27825	50925
159	27992	50735
160	28167	50562
161	28349	50398
162	28560	50288
163	28725	50094
164	28877	49880
165	29056	49711
166	29234	49541
167	29420	49384
168	29566	49160
169	29767	49029
170	29915	48808
171	30088	48630
172	30279	48481
173	30463	48320
174	30611	48104
175	30794	47940
176	30969	47765
177	31111	47541
178	31284	47363
179	31466	47199
180	31640	47024
181	31812	46844
182	31987	46670
183	32165	46499
184	32315	46290
185	32439	46042
186	32561	45794
187	32708	45583
188	32884	45411
189	33061	45241
190	33244	45080
191	33429	44920
192	33604	44748
193	33780	44576
194	33957	44406
195	34135	44237
196	34311	44065
197	34486	43891
198	34634	43685
199	34837	43547
200	35084	43462
201	35273	43306
202	35420	43097
203	35545	42863
204	35702	42668
205	35871	42487
206	36046	42315
207	36222	42142
208	36397	41970
209	36572	41796
210	36778	41659
211	36949	41480
212	37133	41318
213	37306	41141
214	37485	40972
215	37663	40802
216	37809	40597
217	37993	40433
218	38147	40238
219	38324	40066
220	38491	39885
221	38668	39713
222	38820	39516
223	38996	39345
224	39167	39167
225	39297	38949
226	39487	38791
227	39666	38622
228	39838	38446
229	40023	38282
230	40198	38110
231	40359	37923
232	40541	37757
233	40704	37573
234	40877	37398
235	41050	37223
236	41224	37049
237	41406	36882
238	41538	36672
239	41756	36536
240	41952	36381
241	42140	36219
242	42314	36045
243	42480	35864
244	42640	35679
245	42766	35464
246	42940	35290
247	43124	35125
248	43291	34946
249	43460	34768
250	43635	34595
251	43796	34411
252	43955	34226
253	44136	34057
254	44311	33884
255	44478	33705
256	44651	33532
257	44828	33360
258	45004	33188
259	45189	33023
260	45357	32845
261	45532	32672
262	45705	32497
263	45879	32324
264	46083	32171
265	46239	31985
266	46416	31813
267	46590	31639
268	46763	31465
269	46933	31289
270	47111	31117
271	47308	30959
272	47461	30771
273	47613	30583
274	47788	30410
275	47967	30240
276	48175	30087
277	48318	29894
278	48499	29725
279	48641	29532
280	48819	29361
281	48989	29185
282	49165	29012
283	49340	28839
284	49512	28665
285	49692	28494
286	49846	28309
287	50016	28134
288	50189	27960
289	50364	27787
290	50509	27598
291	50673	27419
292	50851	27248
293	50990	27056
294	51163	26882
295	51326	26703
296	51493	26527
297	51666	26353
298	51837	26178
299	52020	26010
300	52158	25819
301	52282	25621
302	52448	25445
303	52622	25272
304	52793	25098
305	52969	24926
306	53167	24765
307	53307	24576
308	53470	24398
309	53652	24230
310	53849	24067
311	54010	23889
312	54189	23718
313	54372	23549
314	54511	23362
315	54687	23190
