,Person,Fclassif,Chi2,inform_gain,inform_gain_rto,IV,absWOE,AUC,KS,MIC
ely_gt0_repay_amt_rf_repay_mean_p186d,-0.07088078987227658,349.0183484243952,465.5976329332454,0.004830799192310498,0.0016971431200562433,0.12353427748972746,2.1996906437047623,0.5898,0.14826380489989627,0.004830799192310911
ely_gt3_repay_amt_rf_repay_sum_p36d,-0.07891963804224818,419.8243203802441,417.9027695171838,0.005597405538407818,0.004155453013490738,0.16530636775661325,2.348694241726336,0.5757,0.1390819305198726,0.0055974055384094435
ely_gt30_repay_oid_cnt_rf_repay_p186d,-0.0794737413016764,439.34206011128254,452.81682901222325,0.005815104642764024,0.005137772892421922,0.1698081798721183,2.7670068912795682,0.5731,0.14231618999458717,0.005815104642764172
normal_days_rf_due_max_freq_p96d,-0.0682638093991288,319.22142732982604,324.722006858899,0.0040388505580483125,0.0022291990140558154,0.11463944982255296,2.3534331876516,0.5725,0.12348243383590596,0.004038850558048644
ovd_gt1_repay_amt_rf_due_sum_p66d,0.09538565761058167,625.9070140417383,620.2304436924314,0.004147836919415171,0.027702005595364277,0.08915663350004367,1.5127133741887284,0.5295,0.058938219904255545,0.004147836919415252
normal_repay_amt_rf_due_median_p36d,-0.041484035933227144,117.39531629810809,190.70602097377557,0.002334463187216973,0.0007027434677708364,0.06447129450385543,1.896780181211902,0.5507,0.08352415191701468,0.002334463187217277
predictscore,0.0897972747065427,570.6709458059582,579.0137834395226,0.006092385497616315,0.0018339907961722856,0.1571787146143871,3.4959514798977467,0.6093,0.16471355949102767,0.006092385497617052
afternoon_ord_succ_amt_rto_p7d,-0.14970758065860115,195.9730697034432,191.6256754918608,0.010230404422062855,0.0384711959254497,0.21754619157400362,1.6540218190421268,0.5658,0.13152558755239907,0.010230404422063301
ely_gt14_repay_oid_rto_rf_due_p7d,-0.07676737187495752,119.49403043659628,127.44242270700039,0.005678870982228745,0.006193704971060428,0.1626361288242466,2.2955624450040633,0.5671,0.13276040578381787,0.005678870982228514
ely_gt14_repay_amt_rf_repay_sum_p186d,-0.07632554381889134,405.02419107091526,429.52939610046974,0.005588349189323993,0.006064559584138477,0.1645946348104356,2.258979109892355,0.5676,0.13365120346274517,0.005588349189323289
repay_amt_in_table_rf_repay_sum_p96d,-0.08501892977400283,501.8177464342147,612.5426346755185,0.00740566843692575,0.0022293283440801503,0.2115367507928247,4.209391235550349,0.604,0.17919562574333425,0.0074056684369266145
normal_repay_amt_rf_repay_sum_p66d,-0.0968608994320932,649.5420522801186,680.4494648176856,0.008178255164263126,0.00246190081723517,0.23148880788653206,4.297356512756738,0.6183,0.1822158594343969,0.00817825516426175
ely_gt3_repay_cnt_rf_repay_p7d,-0.0751751566863225,141.6422663765155,144.41765505816304,0.0049473968892837505,0.0037916149267692044,0.14077015790905378,2.256271336198847,0.5739,0.14039685418887637,0.004947396889284136
ely_gt1_repay_oid_rto_rf_due_p186d,-0.07348146222541055,370.1653491165519,370.09360802408827,0.0038874884430948886,0.0027853569694328384,0.09825649551171926,0.7045054497737135,0.5817,0.14861908676849744,0.003887488443093891
ely_gt14_repay_amt_rf_repay_sum_p36d,-0.06370743789599498,272.9798273754093,271.88001844745554,0.004029857701221606,0.008592354464563056,0.12735775284953402,1.571354516819929,0.5405,0.08104966224126031,0.004029857701223727
ely_gt1_repay_amt_rf_repay_max_p36d,-0.08437773923591474,480.3335022084434,497.35356696994404,0.006547812482685322,0.0036973595168041146,0.19145487951060633,2.608149902819062,0.5889,0.15317710734684653,0.006547812482686483
ord_succ_amt_max_p36d,-0.0659793269522407,229.10443159824453,292.8041633201517,0.0043214802754954484,0.001312043829734823,0.11058088987408689,2.862448852851828,0.5786,0.11953740917405731,0.004321480275495242
ely_gt30_repay_cnt_rf_repay_p36d,-0.07643177056660899,393.61930795736396,416.57076746094117,0.005614192821189523,0.006172231053476092,0.16418777171891605,2.2803283819269677,0.5668,0.13198046320434875,0.005614192821189245
ovd_days_rf_repay_median_p66d,0.11308348445027736,888.3914318738266,877.0609044509099,0.006359458580921462,0.01611303266487406,0.14001654742705072,2.424712722832185,0.5553,0.10940603405369392,0.006359458580918678
normal_days_rf_due_max_freq_p36d,-0.07049370401590997,340.09867721513746,351.9981794133294,0.004307228264055218,0.0023028511048833046,0.12059455843366708,2.9309633345003143,0.5768,0.13334509322423937,0.0043072282640547075
ely_gt3_repay_amt_rf_due_mean_p36d,-0.0725939179366596,360.7745861353184,376.91691971784826,0.004630144018759219,0.003412629475193787,0.12925750546822512,2.1161778723205718,0.5736,0.14020181205572946,0.00463014401876067
ord_succ_rto_p36d,-0.06654041824419973,233.0350330675582,280.51685701886555,0.0028651395188906137,0.00766417889806697,0.061588016142615554,1.2793181141233827,0.5275,0.05786071322094986,0.002865139518891341
ely_gt14_repay_oid_cnt_rf_due_p36d,-0.06166042049803619,259.9010514813094,277.8017129079493,0.003617380570174966,0.0046171631355551345,0.10428243012229453,1.951039032708008,0.5497,0.09887768134938402,0.0036173805701758
normal_days_rf_repay_sum_p66d,-0.08550139805307724,505.0675627175036,525.6041340670765,0.006392328139820602,0.002591506778563793,0.18074826457836968,2.7163831705951296,0.5995,0.15358632324552102,0.006392328139818846
ely_gt30_repay_amt_rf_due_rto_p66d,-0.05296081242286166,190.72606718174825,190.1967193152498,0.002575975748658421,0.0054930847529630475,0.07581432005731878,1.122195577015639,0.5338,0.06755891897109323,0.002575975748662035
ely_gt0_repay_oid_rto_rf_due_p186d,-0.08261410705563708,468.56681936359263,466.55076137070023,0.004711866873517601,0.0036286250278043373,0.1169860641150767,0.792588188678415,0.5879,0.16211737407313398,0.004711866873518309
ely_gt1_repay_amt_rf_due_median_p96d,-0.06900871922270573,326.25978721275834,333.5492246722843,0.003882059426968787,0.0017965329104659765,0.10470231959181292,2.0369246620789,0.5784,0.1353545762849956,0.003882059426968422
ovd_repay_amt_sum_rto_p8repayment,0.11270631139685701,779.7528755611047,772.0042851080685,0.006330669339503492,0.01872555622524399,0.12939751773202465,2.3349211826922565,0.5494,0.09810148895580281,0.006330669339501043
normal_repay_amt_rf_due_sum_p96d,-0.09121883842310936,572.1111079989719,607.6268145512132,0.007181919002080761,0.002161973420072873,0.1983190142473602,4.1109072722746465,0.6116,0.18013407065857734,0.0071819190020804835
normal_days_rf_due_max_p66d,-0.08527268374477694,499.3022508979714,518.0792139032021,0.00620402603752751,0.0025521316026817236,0.17148088083004528,2.964902609561033,0.5992,0.15441583862539465,0.006204026037527523
ovd_gt0_repay_cnt_rf_repay_p96d,0.10312182083707745,740.8126419697722,740.3859695102251,0.00564743213282598,0.013050780277270559,0.12641593575578358,2.159599230021793,0.5549,0.1089281375226989,0.005647432132827496
normal_repay_amt_rf_repay_max_p186d,-0.0832088262406691,481.90330794880134,604.9300983724715,0.007149726710318105,0.002154000933940959,0.19821113291014456,4.207898769354056,0.6021,0.18192294199457748,0.007149726710318168
ovd_gt0_repay_amt_rf_due_mean_p186d,0.08531550323081347,499.9394792472297,698.1752917174151,0.005488948658353254,0.0123142673070045,0.12366860932461023,1.889087302734866,0.5547,0.11030823486979298,0.005488948658352724
normal_days_rf_repay_last_p36d,-0.08439538943452501,480.5359179916207,496.6613835870544,0.006387604958557891,0.003125196153902484,0.18203460327787094,2.8041422044700535,0.5919,0.1507148521436411,0.006387604958558971
ely_gt3_repay_oid_cnt_rf_repay_p186d,-0.06244575207174299,270.5866463468679,330.1989437805776,0.0036179527387428245,0.001832019107737912,0.09429058431321169,2.242630090100944,0.5747,0.14405784659778775,0.003617952738741482
ely_gt3_repay_amt_rf_repay_std_p96d,-0.07095237638308619,178.22327840648242,190.66225351389443,0.004201252273185796,0.0012657012217751563,0.15398103524492782,3.6876262105599475,0.602,0.16855252742992133,0.0042012522731875316
ely_gt14_repay_amt_rf_due_sum_p66d,-0.055807943051408536,212.97123299615586,212.31415749864104,0.002926403614395001,0.006284647626054713,0.08826615139619277,1.2431369212612546,0.5355,0.07100275913826148,0.0029264036143956747
normal_days_rf_repay_max_freq_p66d,-0.07255532409438574,362.9504470430268,377.46229839169723,0.004747727768440846,0.0024240605612117164,0.13618230915596868,2.6055311730308057,0.5783,0.12813688077328822,0.004747727768439245
normal_repay_amt_rf_due_median_p66d,-0.03720021710677624,94.46404702004588,202.6046576779402,0.002461063753710635,0.0007409290887118818,0.06778431308022766,1.9838911857661905,0.5454,0.08590662297107743,0.0024610637537109425
ovd_gt0_repay_amt_rf_repay_mean_p96d,0.08706045077914526,526.3932099630515,729.1053443286002,0.005592153850692838,0.013286119873529862,0.125285615633896,1.9670289612189973,0.5538,0.1082898808354705,0.005592153850692457
ord_amt_median_p7d,-0.051671869482699924,52.76087774369371,83.9757687859244,0.0031488526124826,0.0010509053136250935,0.08312071058363446,2.562417399435017,0.5641,0.1054831530912822,0.0031488526124810482
ely_gt30_repay_oid_cnt_rf_due_p36d,-0.04924979497654053,165.57862339983004,165.18185652854206,0.002224931335230218,0.005105068565692674,0.06554776915606607,1.0930173904703118,0.53,0.05996955741743659,0.0022249313352317892
ovd_gt0_repay_amt_rf_repay_max_p66d,0.09011526367122505,561.5059900825173,850.8011122750468,0.006275097576706579,0.016193212388404894,0.13850215161760315,2.1057828848636504,0.5541,0.10904818296120608,0.00627509757670292
normal_repay_oid_rto_rf_due_p36d,-0.10642789489503007,780.1874487114873,771.3729997796796,0.005421770002395965,0.02472740482068118,0.11798468147900124,1.4147847147398915,0.5417,0.08339408833710277,0.00542177000239654
ord_amt_max_freq_p36d,-0.04754769293684927,118.73119933577792,215.73128406222582,0.0031146387158397792,0.0011037616526522343,0.07872950399635456,1.8911479844350083,0.5512,0.09429389558369727,0.0031146387158392853
JY_BR_JD_ALS_M1_NBANK_ORGNUM,0.08113947293772839,465.3784190330111,501.15435971217084,0.004718571675607519,0.00184275977926793,0.11448638996437921,1.713331370026757,0.5927,0.13814295162626,0.004718571675606688
ovd_gt0_repay_amt_rf_due_sum_p36d,0.10172483107030711,712.0527314483035,956.5877827775802,0.006743074397516369,0.021384302288745636,0.14721849463082384,2.6206842468647524,0.5516,0.10367355634823615,0.006743074397516341
repay_amt_in_table_rf_repay_max_p36d,-0.06230773000278399,261.07015451516725,490.26523859911674,0.006267844789168919,0.001886809871746674,0.17979362672520682,3.60174559318703,0.5759,0.14972673363878253,0.0062678447891700234
ely_repay_rto_p9repayment,-0.08496235085497336,502.5921549268336,502.0645672694484,0.005094763464515484,0.003004032180630459,0.12795276430539773,1.0131107407687836,0.5956,0.16762652803292738,0.00509476346451495
ely_gt0_repay_cnt_rf_repay_p96d,-0.08172902868466601,463.47627506937636,513.6209853798312,0.005857103013571507,0.0021494692669330453,0.15936622567253608,2.491602878593539,0.5994,0.15050116500394067,0.005857103013571896
